link,job_title,ad_date,ad_id,ad_type,job_type,job_duration,job_wage,app_link,app_email,company,location,contact,job_descrip,job_profile,link
https://www.stellenwerk-hamburg.de/jobboerse/praktikant-werkstudent-mwd-globales-hr-management-hamburg-211209-507382,Praktikant/ Werkstudent (m/w/d) Globales HR Management,09.12.2021,211209-507382,Studentenjobs,Werkstudent*in,befristet,,https://www.gebr-heinemann.de/heu/de/job/1071-de_DE,,Gebr. Heinemann SE & Co. KG,"Koreastraße 3, 20457 Hamburg , Deutschland",Frau  Sina Roehl ,"
Als Teil des HR Partner Global Teams arbeiten Sie Hand in Hand mit unseren internationalen Kolleg*innen und unterstützen dabei uns HR-seitig stetig zu optimieren. Hierbei werden Sie insbesondere

an internationalen Personalprojekten mit arbeiten, wie unserem globalen Talent Management Programm und begleiten den Rollout unseres weltweiten Performance Managements
das Team im operativen Tagesgeschäft (Organisation, Reiseplanung, Terminabstimmung, Rechnungsfreigabe) unterstützen
bei der Betreuung und Beratung unserer internationalen Standorte zu Personalthemen behilflich sein, um den globalen Informationsfluss sicherzustellen
unsere zentralen HR Abteilungen kennenlernen und in Schnittstellen mit verschiedenen Abteilungen in unserer Unternehmenszentrale zusammenarbeiten
selbstständig eigene Projekte bearbeiten

","

derzeit studieren Sie mindestens im dritten Semester Ihres Studiums, idealerweise mit Schwerpunkt HR oder Wirtschaftspsychologie
eine hohe interkulturelle Kompetenz, die Sie sich im Rahmen von Auslandsaufenthalten oder internationaler Zusammenarbeit aneignen konnten
idealerweise erste praktische Erfahrungen im Bereich HR und/oder erste Erfahrungen im Einzelhandel eine schnelle Auffassungsgabe und Organisationstalent
Freude an konzeptionellem Arbeiten und Finden von kreativen Lösungen in Zusammenarbeit mit tollen Kolleg*innen
sehr gute Englischkenntnisse in Wort und Schrift sowie sichere MS Office-Kenntnisse,  insbesondere in PowerPoint 

",https://www.stellenwerk-hamburg.de/jobboerse/praktikant-werkstudent-mwd-globales-hr-management-hamburg-211209-507382
https://www.stellenwerk-hamburg.de/jobboerse/werkstudent-recruiting-mwd-hamburg-211209-507377,Werkstudent Recruiting (m/w/d),09.12.2021,211209-507377,Studentenjobs,Werkstudent*in,Nach Vereinbarung,,,mailto:Bewerbung-Hamburg@datagroup.de,DATAGROUP Hamburg GmbH,"Brandshofer Deich 68, 20539 Hamburg, Deutschland",Frau  Sandrin Thiel,"
DATAGROUP in Hamburg
DATAGROUP ist einer der führenden deutschen IT-Dienstleister – dank unseres engagierten Teams. Mit Begeisterung für Technologien und Innovationen bieten wir unseren Kunden verlässliche IT-Services. Gemeinsam mit Ihnen wollen wir weiter wachsen und Innovationen vorantreiben. Wir bieten Ihnen ein spannendes und herausforderndes Aufgabengebiet in einem innovativen Unternehmen. Mit einer offenen Unternehmenskultur, individuellen Weiterbildungsmöglichkeiten und einer Vielzahl an Entwicklungsmöglichkeiten bieten wir Ihnen den Arbeitsplatz, der zu Ihnen und Ihrem Leben passt.
Wir suchen Dich in Hamburg als Werkstudent (m/w/d) im Recruiting
Aufgaben
Du hast Spaß an der Arbeit mit als auch für Menschen und Lust uns im HR zu unterstützen? Werde Teil unseres Teams. Wir bieten dir abwechslungsreiche und herausfordernde Tätigkeiten in einer wachsenden Branche, mit viel Spielraum für eigene Ideen und individuellen Entwicklungsmöglichkeiten. Es erwartet Dich ein motiviertes, ehrgeiziges Team, das sich erfolgreich immer neuen Herausforderungen stellt und dabei den Spaß an der Arbeit nicht vergisst.
Du unterstützt uns

im gesamten Bewerbermanagement-Prozesses von der Vorselektion bis zur Einstellung
bei der Kommunikation mit unseren Bewerbern, sowohl schriftlich als auch mündlich
im Austausch mit den Fachbereichen und übernimmst die Terminkoordination für persönliche als auch virtuelle Vorstellungsgespräche
im Onboarding-Prozess neuer Mitarbeiter
in der Erstellung regelmäßiger Reports von Personalkennzahlen

","
Skills

Du bist ein immatrikulierter Student (m/w/d) mit wirtschaftswissenschaftlichem oder sozialwissenschaftlichem Studium mit dem Schwerpunkt Personal
Du möchtest neben Deinem Studium 20 Stunden als Werkstudent (m/w/d) tätig sein oder musst ein Pflichtpraktikum von mindestens sechs Monaten absolvieren
Dein hohes Maß an Eigeninitiative, Zuverlässigkeit, organisatorischen Fähigkeiten und vor allem Spaß an der Personalarbeit in einem IT-Unternehmen zeichnen Dich aus
Du kommunizierst überzeugend in deutscher Sprache (Wort und Schrift)
Idealerweise hast Du bereits erste Erfahrung im Personalbereich gesammelt

Was wir bieten

IT's that strong: eine offene und kooperative Unternehmenskultur mit einem innovativen und tatkräftigen Team an Deiner Seite
IT's that simple: flache Hierarchien, kurze Entscheidungswege sowie eine vertrauensvolle Arbeitsatmosphäre
IT's worth it: Förderung der persönlichen sowie beruflichen Weiterentwicklung
IT's that dynamic: Vereinbarkeit von Berufs- und Privatleben
IT's promising: hauseigenes DATAGROUP Fitnessstudio, JobRad, Teilnahme an Corporate Benefits, Zuschuss zur betrieblichen Altersversorgung, u. a.
IT's us: starker Teamspirit und Spaß bei der Arbeit, regelmäßige Firmenevents wie Sommerfeste und Weihnachtsfeiern

",https://www.stellenwerk-hamburg.de/jobboerse/werkstudent-recruiting-mwd-hamburg-211209-507377
https://www.stellenwerk-hamburg.de/jobboerse/werkstudent-dmw-im-bereich-technisches-facility-management-hamburg-211209-507353,Werkstudent (d/m/w) im Bereich Technisches Facility Management,09.12.2021,211209-507353,Studentenjobs,Werkstudent*in,Nach Vereinbarung,,https://jobstats.robopost.com/count/clic.php?v=473920&j=1334,,AIRBUS,"21129 Hamburg, Deutschland,   Airbus HR",  Airbus HR,"
Airbus ist ein weltweit führendes Unternehmen im Bereich Luft- und Raumfahrt sowie den dazugehörigen Dienstleistungen. Der Umsatz betrug € 70.5 Mrd. im Jahr 2019, die Anzahl der Mitarbeiter rund 134.000. Airbus bietet die umfangreichste Verkehrsflugzeugpalette. Das Unternehmen ist europäischer Marktführer bei Tank-, Kampf-, Transport- und Missionsflugzeugen und eines der größten Raumfahrtunternehmen der Welt. Die zivilen und militärischen Hubschrauber von Airbus zeichnen sich durch hohe Effizienz aus und sind weltweit gefragt.
Mit Leidenschaft und Entschlossenheit arbeiten unsere Mitarbeiter jeden Tag daran, die Welt zu vernetzen, mit hoher Priorität auf Sicherheit und Fortschritt. Wir sind stolz auf unsere Arbeit und teilen unsere Fachkenntnisse und Erfahrungen, um gemeinsam Spitzenleistungen zu erfüllen. Unsere kulturelle Vielfalt und Zusammenarbeit ermöglicht es uns, Außergewöhnliches zu erreichen – auf dem Erdboden, im Luft- und im Weltraum.
Airbus strebt eine Belegschaft und Arbeitsatmosphäre an, die sich durch Vielfalt und Integration auszeichnen. Wir freuen uns über jede Bewerbung, unabhängig vom sozialen und kulturellen Hintergrund, Alter, Geschlecht, Behinderungsstatus, von der sexuellen Orientierung und Konfession des Bewerbers.
Sie sind Vollzeitstudent, auf der Suche nach einer Werkstudentenstelle, und möchten unser Facility Management unterstützen? Dann bewerben Sie sich jetzt! Wir freuen uns, wenn Sie als Werkstudent mit 18 Stunden pro Woche (Gleitzeit) im technischen Bereich Instandhaltung und Energieversorgung tätig werden!

Standort: Hamburg
Start: Januar 2022
Dauer: 12 Monate

Wir sind zuständig für die Instandhaltung und Energieversorgung von unterschiedlichsten technischen Anlagen und  Infrastruktur in Deutschland im Einklang mit den Kundenerwartungen und in Zusammenarbeit mit allen Stakeholdern.
Aufgaben

Unterstützung für die Datenmigration im SAP System
Einlesen von Assets, Terminplanung für Wartungspläne und deren Einstellung in die Systeme
standortübergreifende Erstellung von Auswertungen für  Vertragsanpassungen/Spezifikationen 
Erstellung von Präsentationen 
Barcodes - Erstellen und Labelling

","
Was bringen Sie mit?

eingeschriebener Vollzeitstudent im Bereich Bau-/Wirtschaftsingenieurwesen, Informatik oder einer vergleichbaren Studienrichtung
erste Praxiserfahrung im Bereich Instandsetzung hilfreich
Google Suite and Windows Office Kenntnisse
Deutsch: fließend
Englisch: fortgeschritten

Sie sind teamfähig, kommunikativ und verfügen über eine eigenständige Arbeitsweise.
",https://www.stellenwerk-hamburg.de/jobboerse/werkstudent-dmw-im-bereich-technisches-facility-management-hamburg-211209-507353
https://www.stellenwerk-hamburg.de/jobboerse/betreuerin-familienanaloge-wohngruppe-hamburg-211209-507352,Betreuer*in Familienanaloge Wohngruppe,09.12.2021,211209-507352,Studentenjobs,Teilzeit,"Unbefristet, ab Samstag, 01 Jan. 2022",nach Vereinbarung,,mailto:cornelia.wendt@vereinigung-pestalozzi.de,Vereinigung Pestalozzi gGmbH,"21035 Hamburg, Deutschland, Frau  Cornelia Wendt",Frau  Cornelia Wendt,"
Wir suchen zum nächstmöglichen Zeitpunkt eine Pädagog*in in einer Familienanalogen Wohngruppe (FAW) nach §34 SGB VIII für 4- 5 Kinder in Hamburg –Lurup.
Tätigkeitsbeschreibung / Aufgaben
Gesucht wird eine Betreuer*in Teilzeit für 15 - 20 Std. pro Woche in einer Familienanalogen Wohngruppe (FAW) nach §34 SGB VIII für Kinder von 3 – 6 Jahren in Hamburg – Lurup. Zurzeit leben in der FAW 4 Kinder, die dort ihr Zuhause gefunden haben.
Von der/dem Stelleninhaber*in wird erwartet, die innewohnende Gruppenleiterin und ihren Ehemann, sowie das Team bei der pädagogischen Arbeit zu unterstützen und gemeinsam das Leben mit den Kindern in der Familienanalogen Wohngruppe und die vielfältigen Aufgaben des Alltags zu gestalten.
Wir bieten Ihnen:

Die Bezahlung erfolgt der Leistung entsprechend nach einem hauseigenen Entlohnungssystem. Zusätzlich werden die Nachbereitschaften vergütet.
ein sympathisches und offenes Team
viele Mitgestaltungsmöglichkeiten
regelmäßige Teamsitzungen und Supervision
Möglichkeit der betrieblichen Altersvorsorge
HVV-Proficard
Nutzung des „Jobrad“ Angebotes 

Für weitere Rückfragen stehe ich gerne telefonisch zur Verfügung.


Kontaktdaten für Ihre Bewerbung:
Vereinigung Pestalozzi gem. GmbH
Cornelia Wendt
Palmaille 35a
22767 Hamburg
mobil: 015140463283
Bewerbungen per Email bitte an die Adresse:
cornelia.wendt@vereinigung-pestalozzi.de
","
Anforderungen

Qualifikation als Sozialpädagog*in (BA, MA oder Dipl.), Dipl. Pädagog*in,    Heilerzieher*in/Heilpädagog*in, Heilerziehungspfleger*in oder Erzieher*in
Bereitschaft mit den Kindern einen verlässlichen und strukturierten Alltag zu gestalten, Unternehmungen zu planen, an Reisen mitzuwirken
Bereitschaft, den Kindern ein verlässliches Beziehungsangebot zu machen
Hohe kommunikative und soziale Kompetenz
Erfahrung in der sozialpädagogischen Arbeit im Bereich der Hilfen zur Erziehung, Erfahrung/Kenntnisse systemischer Sichtweisen
Flexibilität, Konfliktfähigkeit, Belastbarkeit
Kontinuitätsbereitschaft, Spaß an der Arbeit und Humor
Bereitschaft zur Arbeit zu ungünstigen Zeiten, an Feiertagen und Wochenenden, es wird versucht individuelle Wünsche zu Dienstzeiten zu berücksichtigen.
Der monatliche Dienstplan wird von der Gruppenleiterin im Voraus erstellt und mit dem Team abgestimmt.

",https://www.stellenwerk-hamburg.de/jobboerse/betreuerin-familienanaloge-wohngruppe-hamburg-211209-507352
https://www.stellenwerk-hamburg.de/jobboerse/werkstudentin-customer-success-hamburg-211209-507351,Werkstudent*in in Customer Success ,09.12.2021,211209-507351,Studentenjobs,Werkstudent*in,Nach Vereinbarung,13 €/Stunde,,mailto:jobs@nordantech.com,Nordantech Solutions GmbH,"20354 Hamburg, Deutschland, Herr Dr. Jonas Steeger",Herr Dr. Jonas Steeger,"
Wir sind auf der Suche nach neuen Talenten für unser Team
Unser Customer Success (CS) Team kümmert sich um unsere Kunden und begleitet sie von Anfang an mit Falcon. Dazu gehört das erste Set-Up im Tool, genauso wie Trainings und laufender Support. Du unterstützt das erfahrene Team bei Recherchen und Entscheidungsvorlagen sowie Analysen und neuen Konzepten. Aber auch eigene Projekte kannst du mit uns verwirklichen – denn wir sind immer offen für coole Ideen!
","
Beispiele für Aufgaben, die Du in Deiner Zeit bei uns begleiten wirst:

Markt-Recherchen und Analysen
Erstellung von Präsentationen und Entscheidungsvorlagen
Unterstützung bei der Organisation unserer Falcon Academy
Erstellungen von Best Practice Ressourcen
Eigene Ideen & Projekte, die du mit uns verwirklichen möchtest

Was Du mitbringen solltest

Empathie und die Fähigkeit, komplexe Sachverhalte verständlich darzustellen
Schnelle Auffassungsgabe
Freude an Verantwortung
Erfahrung mit der Office Suite (insb. PowerPoint und Excel)
Erste Praktikumserfahrung
Deutsch & Englisch Kenntnisse

Unser Angebot

In unserem Office im Herzen Hamburgs, erwarten Dich ein agiles Arbeitsumfeld, großartige Kollegen und echte Mitgestaltung
Wir arbeiten flexibel! Wenn Du lieber mal im Homeoffice bist oder gelegentlich von ganz woanders arbeiten möchtest, finden wir dafür eine pragmatische Lösung.
Teamevents und eine Menge Spaß neben der Arbeit sind auch mit im Paket
Für Dein leibliches Wohl ist mit Kaffee, Obst und Snacks gesorgt

",https://www.stellenwerk-hamburg.de/jobboerse/werkstudentin-customer-success-hamburg-211209-507351
https://www.stellenwerk-hamburg.de/jobboerse/betreuerin-familienanaloge-wohngruppe-hamburg-211209-507349,Betreuer*in Familienanaloge Wohngruppe,09.12.2021,211209-507349,Studentenjobs,Nach Vereinbarung,ab sofort ,ab 13 Euro,,mailto:cornelia.wendt@vereinigung-pestalozzi.de,Vereinigung Pestalozzi gGmbH,"21035 Hamburg, Deutschland, Frau  Cornelia Wendt",Frau  Cornelia Wendt,"
In  der Stationären Kinder- und Jugendhilfe betreibt die Vereinigung Pestalozzi 4 familienanaloge Wohngruppen ( § 34 SGB VIII) in Hamburg Lurup und Neu Allermöhe. Jeweils zwei Wohngruppen liegen direkt nebeneinander in Doppelhaushälften bzw. Reihenhäusern.
Hier leben die Kinder und Jugendlichen mit den Betreuern familienähnlich in einem Haus.
Der Fokus liegt auf der Herstellung und dem Erhalt von verlässlichen Beziehungen sowie der Alltags- bzw. Lebensgestaltung.
Wir suchen möglichst ab sofort Betreuer*innen als Vertretung auf Aufwandsentschädigung (max. 200 Stunden im Jahr) zur Verstärkung unserer Teams.
Tätigkeitsbeschreibung / Aufgaben
Von der/dem Betreuer*in wird erwartet gemeinsam das Leben mit den Kindern in der Familienanalogen Wohngruppe und die vielfältigen Aufgaben des Alltags zu gestalten.


Kontaktdaten für Ihre Bewerbung:
Vereinigung Pestalozzi gem. GmbH
Cornelia Wendt
Palmaille 35a
22767 Hamburg

mobil: 015140463283
Bewerbungen per Email bitte an die Adresse:
cornelia.wendt@vereinigung-pestalozzi.de
","
Anforderungen

Erfahrung in der pädagogischen Arbeit mit Kindern und Jugendlichen
Bereitschaft mit den Kindern einen verlässlichen und strukturierten Alltag zu gestalten
Hohe kommunikative und soziale Kompetenz
Flexibilität, Konfliktfähigkeit, Belastbarkeit
Spaß  an der Arbeit und Humor
Bereitschaft zur Arbeit zu ungünstigen Zeiten, an Feiertagen und  Wochenenden, nach Absprache mit den Kollegen

",https://www.stellenwerk-hamburg.de/jobboerse/betreuerin-familienanaloge-wohngruppe-hamburg-211209-507349
https://www.stellenwerk-hamburg.de/jobboerse/werkstudent-it-mwd-hamburg-211209-507345,Werkstudent IT (m/w/d),09.12.2021,211209-507345,Studentenjobs,Werkstudent*in,Nach Vereinbarung,,https://careers.tuigroup.com/job/54003_de,,TUI Cruises GmbH,"Heidenkampsweg 58, 20097 Hamburg, Deutschland",Frau  Simone Ortmann,"
Die TUI Cruises GmbH sucht zum nächst möglichen Termin am Standort Hamburg eine/n:
WerkstudentIn für die IT Operations
 
WAS SIE ERWARTET

Unterstützung der Fachbereiche IT Operations und IT Service Desk im Tagesgeschäft
Ggf. Sonderaufgaben aus den Bereichen zur eigenständigen Umsetzung
Projektunterstützung bei der Einführung von M365 im Unternehmen
Unterstützung bei der Durchführung von Systemupdates 
Aufsetzen von Hardware mit Hilfe eines Software Deployment Systems
Inventarpflege – Endgeräte
Pflege und Weiterentwicklung des Ticketsystems OTRS sowie von Dokumentationen
Zu Spitzenzeiten Unterstützung des Service Desks im Tagesgeschäft 

WORAUF SIE SICH FREUEN KÖNNEN

Einen spannenden Einblick in einem aufstrebenden Kreuzfahrtunternehmen mit vielfältigem Entwicklungspotenzial 
Eine kollegiale, von Offenheit und Engagement geprägte Arbeitsatmosphäre
Vom ersten Tag an Verantwortungsübernahme und Mitgestaltung des persönlichen Arbeitsbereiches
Ein modern eingerichteter Arbeitsplatz in zentraler Lage, nur eine „Seemeile“ vom Hauptbahnhof entfernt
Eine zeitgemäße Führungs- und Unternehmenskultur geleitet von unseren Unternehmenswerten „Vertrauen, Innovation und Professionalität“
Regelmäßige Feedback- und Entwicklungsgespräche zur gezielten Förderung Ihrer Stärken und beruflichen Laufbahn
Eine flexible Arbeitszeitkultur
Vergünstigte Kreuzfahrten, Fitnessstudio, Yoga-Kurse, Rückenschule, Massage u.v.m.)

","
WONACH WIR SUCHEN

Immatrikuliert als StudentIn im Bereich der (Wirtschafts-)Informatik oder vergleichbarer Studiengänge
Eine abgeschlossene IT-Ausbildung von Vorteil
Erfahrungen im Server- / Netzwerkumfeld von Vorteil
Gute Deutsch- und Englischkenntnisse
Begeisterungsfähigkeit für abwechslungsreiche Tätigkeiten mit unseren IT-Systemen
Eigenständige und sorgfältige Arbeitsweise
Engagement und Teamfähigkeit

Bei jedem Schritt behalten wir den Gast im Fokus! Möchten Sie diese Extrameile mit uns gehen?
Wir freuen uns auf Ihre Bewerbung - ungeachtet Ihres Alters, Geschlechts, Ihrer Nationalität, ethnischen Herkunft, Religion, Weltanschauung, sexuellen Orientierung und/oder Behinderung.
Bitte bewerben Sie sich mit Ihren aussagekräftigen und vollständigen Bewerbungsunterlagen (Anschreiben, Lebenslauf, Zeugnisse/Zertifikate) ausschließlich online.
Haben Sie Fragen zu TUI Cruises und/oder unserem Bewerbungsprozess? Auf unserer Karriereseite finden Sie umfassende Informationen und FAQ. Oder schreiben Sie uns eine E-Mail an hr@tuicruises.com. Wir antworten Ihnen schnellstmöglich zurück.
",https://www.stellenwerk-hamburg.de/jobboerse/werkstudent-it-mwd-hamburg-211209-507345
https://www.stellenwerk-hamburg.de/jobboerse/werkstudent-praktikant-wmd-corporate-development-finance-hamburg-211209-507337,Werkstudent / Praktikant (w/m/d) Corporate Development & Finance,09.12.2021,211209-507337,Studentenjobs,Werkstudent*in,Nach Vereinbarung,,https://collectai.jobs.personio.de/job/503501?_pc=563139#apply,,collect Artificial Intelligence GmbH,"Am Sandtorkai, 20457 Hamburg, Deutschland",Herr  Raphael Ehret,"
Über uns:
Wir sind ein Hamburger FinTech-Unternehmen, das Enterprise-Kunden mit einer Software-Plattform zur Digitalisierung von Endkunden-Rechnungen und Mahnprozessen unterstützt.
Basierend auf Künstlicher Intelligenz kombinieren wir hierzu digitale Kommunikationskanäle mit vielfältigen Bezahlmethoden. Unsere Mission ist es mittels smarter Technologie die bisher analogen Zahlungsprozesse für Kunden und Unternehmen auf intelligente und bequeme Weise auszugestalten.
Mit unserer umfangreichen Software-as-a-Service-Lösung (SaaS) optimieren wir mit branchenspezifischen, innovativen Features die Customer Journey der Kunden von u.a. Banken, E-Commerce- und Mobility-Unternehmen, Energieversorgern, Versicherern und von Telekommunikationsanbietern.
2016 in der Innovationsschmiede von Otto Group Digital Solutions gegründet, sind wir Teil von Europas größtem E-Commerce-Konzern, der Otto Group.
Unsere Position:
Wir wollen in den nächsten Jahren weiter nachhaltig wachsen und suchen zur Unterstützung unseres Teams in Hamburg ab sofort für 3-6 Monate eine/n Praktikanten*in (m/w/d) oder eine/n Werkstudent*in (m/w/d) für einen Zeitraum über mehr als 6 Monate im Bereich Corporate Development & Finance, der/die gemeinsam mit uns den Markt für digitales Forderungsmanagement neu definiert.
Als Werkstudent*in/Praktikant*in in unserem Corporate Development & Finance-Team bist Du verantwortlich für:

Du unterstützt bei der Durchführung von Projekten zur Unternehmensentwicklung sowie Prozessoptimierung unseres stark wachsenden Startups.
Du übernimmst relevante operative Aufgaben im Financial Management (Rechnungswesen, Controlling und Financial Modelling)
Du hilfst uns dabei unser Business-Modell in Bezug auf regulatorische und marktseitige Veränderungen kontinuierlich zu evaluieren.
Du betreust Projekte zur effektiven Verbesserung unserer Prozesse, beispielsweise die Implementierung von BI-Instrumente zur zielgerichteten Auswertung strategischer KPIs
Ebenso hilfst Du dem Team bei weiteren ad hoc Aufgaben rund um die Themen Accounting, Controlling, Regulatorik & Legal sowie strategische Analysen/Auswertungen.

","
Was Du mitbringen solltest:

Du bist eingeschriebene/r Student*in im fortgeschrittenen Stadium Deines Bachelor- bzw. im Masterstudiums im Bereich Wirtschaftswissenschaften (BWL, VWL, Wirtschaftsrecht, Jura, Wirtschaftsinformatik, Wirtschaftsingenieur, o.ä.) - alternativ in einem Gap Year, praktischen Semester oder schließt in naher Zukunft ein Studium an.
Du bist hoch motiviert, zielstrebig und gewohnt auch in stressigen Situationen den Überblick zu behalten.
Du hast bereits erste praktische Erfahrung im analytischen und ergebnisorientierten Arbeiten in Finanzthemen, Strategiearbeit und in Projektarbeit gesammelt.
Dein Teamgeist, Deine selbständige Arbeitseinstellung sowie Deine Kenntnisse MS Office, insbesondere mit Excel, zeichnen Dich aus.
Du hast sehr gute Deutschkenntnisse (in Wort und Schrift) sowie bist es gewohnt auf Englisch (in Wort und Schrift) zu kommunizieren und blühst in der kulturellen Vielfalt von über 10 unterschiedlichen Nationen Deiner Kollegen sichtlich auf.

Was Dich erwartet:

Du erhältst die Möglichkeit ab Deinem ersten Tag Verantwortung in einem aufstrebenden Start-up im konzernnahen Umfeld zu übernehmen.
Du gestaltest ab dem ersten Tag relevante Themen und Projekte mit und kannst Deinen Fußabdruck hinterlassen.
Dafür stehen Dir erfahrene Kolleg*innen für intensives Coaching zur Seite.
Du arbeitest in einem internationalen Team aus erfahrenen Technologie- und Businessexpert*innen in einem modernen und flexiblen Arbeitsumfeld in der Hamburger Hafencity.
Unternehmensvorteile wie Einkaufsrabatte, HVV-Proficard und diverse weitere Vergünstigungen als Otto Group Mitarbeiter*in.

Das klingt ganz nach Dir? Dann freuen wir uns auf Deine Bewerbung! Dein Ansprechpartner ist Raphael Ehret.
",https://www.stellenwerk-hamburg.de/jobboerse/werkstudent-praktikant-wmd-corporate-development-finance-hamburg-211209-507337
https://www.stellenwerk-hamburg.de/jobboerse/werkstudentin-compliance-hamburg-211209-507336,Werkstudent*in Compliance,09.12.2021,211209-507336,Studentenjobs,Werkstudent*in,Nach Vereinbarung,,https://www.hanseaticbank.de/services/karriere/jobs/bewerbung/03412768,,Hanseatic Bank ,"Bramfelder Chaussee 10, 22177 Hamburg, Deutschland",Frau  Anne Jarausch,"
Das sind deine Aufgaben:
Komm in unser Team und unterstütze die Kolleg*innen rund um die Themen Datenschutz, Geldwäscheprävention, Compliance und Bankaufsichtsrecht. Wir suchen eine*n Werkstudent*in mit einer Arbeitszeit von mindestens 15 Stunden die Woche.

Du sammelst Praxiserfahrung: Du erhältst interessante Einblicke in die regulatorischen Anforderungen an ein Finanzinstitut.
Du packst mit an: Du erstellst regelmäßig Reports und wertest diese aus.
Du bist Eigenständig: Die Vorbereitung von Präsentationen zählt zu deinen Aufgaben.
Du trägst Verantwortung: Verschiedene Kontrolltätigkeiten wirst du durchführen und dokumentieren.
Du hast den Durchblick: Du erstellst und aktualisiert unsere Prozessdokumentationen.
Du zeigst Teamgeist: Du kannst eigene kleine Projekte bearbeiten und das Team bei der Umsetzung von bereichsübergreifenden Projekten unterstützen.

","

Du befindest dich in einem laufenden Studium in einem betriebswirtschaftlichen Studiengang.
Idealerweise (also kein Muss!) bringst du schon erste Kenntnisse aus dem Finanzdienstleistungsbereich mit.
Du möchtest hinter die Kulissen eines Finanzinstituts blicken, welches dabei ist, sich zu einer agileren Organisation umzubauen.
Selbständigkeit, Eigenmotivation und Teamgeist – das trifft auch auf dich zu.
Du bringst sehr gute Deutschkenntnisse mit. Gute Englischkenntnisse in Wort und Schrift sind von Vorteil.

",https://www.stellenwerk-hamburg.de/jobboerse/werkstudentin-compliance-hamburg-211209-507336
https://www.stellenwerk-hamburg.de/jobboerse/student-assistant-middle-east-mfd-editorial-research-intelligence-hamburg-211209-507334,Student Assistant Middle East (m/f/d) Editorial Research Intelligence,09.12.2021,211209-507334,Studentenjobs,Werkstudent*in,Nach Vereinbarung,,https://www.statista.com/career/details/140321,,Statista GmbH," , 20355 Hamburg, Deutschland",Herr  Felix Hock,"
Statista is one of the world’s leading statistics portals.
As a multiple award-winning innovative digital company, Statista provides customers such as Google, Bloomberg, Forbes, Procter & Gamble, or Porsche with high-quality research & analysis, data intelligence, and content marketing products and services.

With 1000 employees from more than 70 different nations and offices in Hamburg, New York, London, Singapore, and Paris, Statista draws its great innovative power from its internationality and diversity.

Statista provides a company culture based around learning by doing and entrepreneurship, offers great career opportunities, and combines the pioneering spirit of a start-up with the stability of an established company.
Your Team
In our Editorial Research Intelligence Department, almost 200 researchers work on the statistics and topic pages for our different national platforms. Each day, while focusing on their specific fields, our experts research and prepare new data from the world’s most significant sources for our platforms: https://www.statista.com/.
Your Tasks

Assisting our editors in expanding statistical content about the Middle East.
Processing data using our content management system.
Updating and editing existing statistical content and writing-related editorial texts.

","
Your Profile

Enrolled as a full-time student (mandatory).
Interested in finding a job with 15 to 20 hours per week.
Exceptional written and spoken English.
Good reading comprehension in Arabic.
Ability to describe complicated data in a concise and understandable manner.
Structured, organized, and independent working style with attention to quality and accuracy.

Your Benefits

High level of autonomy
Great opportunities for personal growth and responsibility
Statista University - extensive training offer and individual coaching
Extensive offer in the field of health promotion
Dynamic, international team
A team-oriented transfer of know-how
Located directly within Hamburg's city center

",https://www.stellenwerk-hamburg.de/jobboerse/student-assistant-middle-east-mfd-editorial-research-intelligence-hamburg-211209-507334
